Question|Answer|Category|Difficulty|Card_Type
"Why is the sky blue?"|"Light from the sun contains all colors mixed together. When this light hits our atmosphere, it bounces off tiny gas molecules. Blue light has a short wavelength, which means it bounces around more than other colors - like a pinball hitting more bumpers. By the time it reaches your eyes, blue light is coming from all directions, making the whole sky look blue. Red and yellow light travel more directly, which is why the sun itself looks yellowish."|Space & Sky|Basic|Primary
"→ Why isn't the sky purple if purple has an even shorter wavelength?"|"Great observation! Purple does have a shorter wavelength than blue, but three things prevent a purple sky: (1) The sun produces less purple light than blue to begin with, (2) Our eyes are much less sensitive to purple than blue - we're literally built to see blue better, and (3) Some purple light gets absorbed by the upper atmosphere. So even though purple scatters more, we see the stronger blue signal. It's like having a loud blue radio station and a quiet purple one - you hear the blue."|Space & Sky|Intermediate|"Follow-up"
"Why are sunsets red and orange?"|"During sunset, sunlight has to travel through much more atmosphere to reach you - sometimes 40 times more than at noon. All that extra air scatters away most of the blue light before it can reach your eyes. What's left are the longer wavelengths - reds, oranges, and yellows. Dust and pollution can make sunsets even more colorful by providing extra particles to scatter the light. That's why sunsets are often more dramatic after volcanic eruptions."|Space & Sky|Basic|Primary
"What is a black hole?"|"A black hole forms when a massive star dies and collapses into a point so dense that its gravity becomes inescapable. Imagine squeezing the entire Earth down to the size of a marble - that's the kind of density we're talking about. The 'event horizon' is the point of no return where even light moving at 186,000 miles per second can't escape. We can't see black holes directly, but we can detect them by watching how they affect nearby stars and gas, which spiral around them like water going down a drain."|Space & Sky|Intermediate|Primary
"→ What happens if you fall into a black hole?"|"From your perspective, you'd experience 'spaghettification' - the gravity at your feet would be so much stronger than at your head that you'd be stretched like taffy. But here's the weird part: to someone watching from outside, you'd appear to slow down and freeze at the event horizon, your image redshifting and fading over time. This happens because of extreme time dilation - time passes differently in strong gravity. Inside, you'd quickly reach the singularity (the infinitely dense center), but outside observers would never see you cross the horizon. Physics gets strange at these extremes!"|Space & Sky|Advanced|Follow-up
"Why does the Moon change shape?"|"The Moon doesn't actually change shape - it's always a sphere. What changes is how much of the lit side we can see from Earth. The Sun always lights up half the Moon, but as the Moon orbits Earth every 29.5 days, we see different amounts of that lit half. During a new moon, the lit side faces away from us. During a full moon, we see the entire lit side. The other phases show us different portions as the Moon moves through its orbit."|Space & Sky|Basic|Primary
"Why do we only see one side of the Moon?"|"The Moon is 'tidally locked' to Earth, which means it rotates exactly once for each orbit around us. This happened because Earth's gravity gradually slowed the Moon's rotation over billions of years until the timing matched perfectly. It's like a dance partner who circles around you while always facing you. About 59% of the Moon's surface is visible from Earth over time due to slight wobbles called libration, but we never see the far side without spacecraft."|Space & Sky|Intermediate|Primary
"Why do stars twinkle?"|"Stars don't actually twinkle in space - they shine steadily. The twinkling happens because of Earth's atmosphere. As starlight travels through layers of air at different temperatures and densities, it gets bent slightly in random directions. This happens many times per second, making the star appear to flicker and change color slightly. Planets usually don't twinkle as much because they're closer and appear as tiny disks rather than points, so the atmospheric effects average out."|Space & Sky|Basic|Primary
"→ Why do stars have different colors?"|"Star color tells us temperature! Blue stars are the hottest (over 30,000°F), white stars are very hot (around 20,000°F), yellow stars like our Sun are medium (10,000°F at the surface), and red stars are the coolest (still a scorching 5,000°F). It's like heating metal - it glows red, then orange, then white-hot. The temperature depends on the star's mass - bigger stars burn hotter and bluer but die faster. Our yellow Sun is middle-aged and middle-temperature. Red dwarf stars are small and cool but can live for trillions of years."|Space & Sky|Intermediate|Follow-up
"What is a shooting star?"|"A 'shooting star' isn't a star at all - it's a meteoroid, usually no bigger than a grain of sand, entering Earth's atmosphere at speeds up to 160,000 mph. The friction with air molecules heats it to about 3,000°F, causing it to glow brightly and usually vaporize completely within seconds. The streak of light you see is the trail of hot, glowing air. Larger ones that survive to hit the ground are called meteorites. Earth encounters about 48.5 tons of meteoroid material every day."|Space & Sky|Basic|Primary
"Why isn't Pluto a planet anymore?"|"In 2006, astronomers created a formal definition of 'planet' that requires three things: orbiting the sun, being round from its own gravity, and clearing its orbital neighborhood of other objects. Pluto meets the first two but fails the third - it shares its orbital space with many other objects in the Kuiper Belt. It was reclassified as a 'dwarf planet.' This wasn't about Pluto changing, but about us discovering many similar objects and needing clearer categories. Science sometimes updates definitions as we learn more."|Space & Sky|Intermediate|Primary
"What is gravity?"|"Gravity is the force that pulls objects with mass toward each other. The more massive an object, the stronger its pull. Earth's gravity keeps you on the ground and the Moon in orbit. Einstein showed that massive objects actually bend the fabric of space-time itself, like a bowling ball on a trampoline, and objects follow these curves. Gravity gets weaker with distance - specifically, it decreases with the square of the distance. That's why astronauts can float in space stations even though Earth's gravity still reaches them (they're actually falling around Earth)."|Space & Sky|Intermediate|Primary
"→ If gravity pulls everything together, why is the universe expanding?"|"This is one of physics' biggest mysteries! Dark energy - a mysterious force we don't understand - is pushing space itself apart, overwhelming gravity on cosmic scales. Think of it like raisins in rising bread dough: gravity holds each raisin together, but the dough (space) expanding moves them apart. On smaller scales like solar systems and galaxies, gravity wins. But between galaxy clusters, dark energy dominates, accelerating expansion. We discovered this in 1998 and it shocked physicists - the universe's expansion is speeding up, not slowing down as expected!"|Space & Sky|Advanced|Follow-up
"How do satellites stay up?"|"Satellites are actually falling toward Earth constantly, but they're moving sideways so fast (about 17,500 mph for low Earth orbit) that they keep missing. As Earth's surface curves away beneath them, they fall toward it at the same rate, creating a continuous circular path. It's like throwing a ball so hard that by the time it falls to where the ground was, the Earth has curved away. They need occasional boosts because thin atmosphere at their altitude creates tiny amounts of drag."|Space & Sky|Intermediate|Primary
"What causes wind?"|"Wind is air moving from areas of high pressure to areas of low pressure, like air rushing out of a balloon. The sun heats Earth's surface unevenly - the equator gets more direct sunlight than the poles, and land heats faster than water. This creates temperature differences that cause pressure differences. Warm air rises (low pressure), cool air sinks (high pressure), and air flows between them. Earth's rotation deflects these winds via the Coriolis effect, creating the complex wind patterns we experience."|Earth & Weather|Basic|Primary
"Why does it rain?"|"Rain happens through the water cycle. Water evaporates from oceans, lakes, and plants, rising as invisible water vapor. As this warm, moist air rises, it cools (about 3.5°F per 1,000 feet). Cold air can't hold as much water vapor, so it condenses around tiny particles of dust or salt into droplets. Millions of these microscopic droplets form clouds. When droplets collide and combine enough to become too heavy to float in air (about 0.5mm diameter), they fall as rain."|Earth & Weather|Basic|Primary
"→ Why do clouds float if they're made of water?"|"Clouds are made of tiny water droplets so small that air resistance is stronger than gravity's pull on them. Each droplet is about 0.00001 meters across - you'd need a million of them to make one raindrop! They're constantly falling, but so slowly (about 0.4 inches per minute) that slight upward air currents keep them aloft. Also, the cloud as a whole is less dense than the dry air below it because water vapor is lighter than nitrogen and oxygen. When droplets grow large enough, gravity wins and they fall as rain."|Earth & Weather|Intermediate|Follow-up
"What are thunder and lightning?"|"Lightning is a massive electrical discharge - like static electricity but millions of times stronger. Ice crystals in storm clouds rub together, building up electrical charge until the voltage difference becomes enormous (hundreds of millions of volts). The discharge creates a channel of air heated to 50,000°F - five times hotter than the sun's surface. This superheated air expands explosively, creating the shock wave we hear as thunder. You see lightning before hearing thunder because light travels at 186,000 miles per second while sound travels at only 1,125 feet per second."|Earth & Weather|Intermediate|Primary
"Why is the ocean salty?"|"Ocean salt comes from rocks on land. Rain is slightly acidic (from dissolved CO2), and as it falls on rocks, it breaks them down chemically, releasing minerals including sodium and chloride. Rivers carry these dissolved minerals to the ocean - about 4 billion tons per year. When ocean water evaporates, it leaves the salt behind, gradually concentrating it over millions of years. The ocean is about 3.5% salt by weight. Underwater volcanic vents and hydrothermal activity also add minerals directly to seawater."|Earth & Weather|Intermediate|Primary
"→ Why aren't lakes salty?","Most lakes have both inlets and outlets - water flows in from rivers and out to other rivers, eventually reaching the ocean. This constant flow carries dissolved minerals away before they can concentrate. It's like a bathtub with the drain open and tap running - the water stays fresh. But lakes without outlets, like the Dead Sea or Great Salt Lake, ARE salty - often saltier than the ocean! Water enters carrying minerals, then evaporates leaving salt behind, concentrating it over thousands of years. These are called 'endorheic' lakes."|Earth & Weather|Intermediate|Follow-up
"What causes earthquakes?"|"Earth's outer shell (lithosphere) is broken into about 15 major tectonic plates that float on the semi-liquid mantle below. These plates move slowly (2-10 cm per year) but their edges get stuck against each other, building up enormous stress. When the stress exceeds the friction holding them, they suddenly slip, releasing energy as seismic waves. Most earthquakes occur at plate boundaries. The Richter scale is logarithmic - a magnitude 7 quake releases 32 times more energy than a magnitude 6."|Earth & Weather|Intermediate|Primary
"What makes a rainbow?"|"Rainbows form when sunlight hits water droplets in the air at just the right angle (42° for the primary rainbow). Each droplet acts like a tiny prism. When light enters the droplet, it slows down and bends (refraction), bounces off the back (reflection), then bends again as it exits. Different colors bend at slightly different angles because they have different wavelengths, spreading white light into its spectrum: red, orange, yellow, green, blue, indigo, violet. You only see a rainbow when the sun is behind you and rain is in front."|Earth & Weather|Intermediate|Primary
"→ Why are there sometimes double rainbows?"|"Double rainbows happen when light bounces twice inside water droplets instead of once. The second rainbow appears about 10° outside the first one, and its colors are reversed - red is on the inside instead of outside. It's always fainter because less light survives the second bounce. The dark area between the two rainbows is called 'Alexander's dark band' - no light rays emerge at those angles. Sometimes you can even see faint third and fourth rainbows, but they're usually too dim to notice. The second rainbow is actually always there when conditions create the first one; it's just often too faint to see."|Earth & Weather|Intermediate|Follow-up
"Why do leaves change color in fall?"|"Leaves are green because of chlorophyll, which captures sunlight for photosynthesis. In fall, trees sense shorter days and cooler temperatures, triggering them to stop producing chlorophyll and start withdrawing nutrients from leaves. As green chlorophyll breaks down, other pigments that were always present become visible: carotenoids (yellows and oranges) and in some trees, newly-produced anthocyanins (reds and purples). The tree then forms a seal between leaf and branch, causing the leaf to fall. This conserves energy and water during winter."|Earth & Weather|Intermediate|Primary
"What is a volcano?"|"A volcano is an opening in Earth's crust where molten rock (magma), gas, and ash can escape from below. Most volcanoes form at tectonic plate boundaries where plates collide or separate. Magma is less dense than solid rock, so it rises through cracks. As it nears the surface, dissolved gases expand rapidly (like opening a shaken soda), driving explosive eruptions. The magma is 1,300-2,200°F. Different mineral compositions create different eruption styles - from gentle lava flows in Hawaii to explosive eruptions like Mount St. Helens."|Earth & Weather|Intermediate|Primary
"What causes tides?"|"Tides are caused primarily by the Moon's gravity pulling on Earth's oceans. The Moon pulls strongest on the water nearest to it, creating a bulge. Surprisingly, there's also a bulge on the opposite side because the Moon pulls Earth itself away from the water there. As Earth rotates through these two bulges, most coastlines experience two high tides and two low tides daily. The Sun also affects tides - when Sun and Moon align (new and full moons), we get extra-high 'spring tides.' When they're at right angles, we get smaller 'neap tides.'"|Earth & Weather|Intermediate|Primary
"Why is it colder on mountains?"|"Temperature drops about 3.5°F for every 1,000 feet of elevation. This happens because air pressure decreases with altitude - there's literally less air above pushing down. When air rises up a mountain, it expands into this lower pressure environment. Expanding gases cool down (the same principle makes spray cans feel cold). Additionally, the atmosphere is heated primarily from below by Earth's surface, not directly by sunlight passing through it. Mountains also lose heat faster because there's less air to hold warmth."|Earth & Weather|Intermediate|Primary
"What is matter?"|"Matter is anything that has mass and takes up space - basically, all the 'stuff' in the universe. It's made of atoms, which are incredibly tiny (a million lined up would be thinner than a hair). Atoms consist of a nucleus (protons and neutrons) surrounded by electrons. The arrangement and behavior of these particles determine whether matter is solid, liquid, gas, or plasma. Einstein's E=mc² showed that matter and energy are interchangeable - matter is essentially concentrated energy. Everything you can touch, see, or breathe is matter."|Matter & Energy|Basic|Primary
"What is an atom?"|"An atom is the smallest unit of an element that still has that element's properties. It consists of a nucleus containing protons (positive charge) and usually neutrons (no charge), with electrons (negative charge) orbiting in 'shells' or energy levels. Atoms are 99.9999999999996% empty space - if the nucleus were a marble in the center of a football stadium, electrons would be specks of dust in the upper seats. Different elements have different numbers of protons: hydrogen has 1, carbon has 6, gold has 79."|Matter & Energy|Intermediate|Primary
"→ If atoms are mostly empty space, why can't we walk through walls?"|"Even though atoms are mostly empty, you can't walk through walls because of electromagnetic forces between electrons. The electrons in your body's atoms and the wall's atoms repel each other powerfully - like trying to push the same poles of two magnets together. This electron repulsion is what we feel as 'solid.' Also, quantum mechanics says electrons exist in 'probability clouds' that effectively fill their space. The Pauli exclusion principle prevents electrons from occupying the same quantum state, creating an impenetrable barrier despite the empty space."|Matter & Energy|Advanced|Follow-up
"What is electricity?"|"Electricity is the flow of electrons through a conductor, like copper wire. Electrons are negatively charged particles that orbit atoms. In metals, some electrons are loosely held and can jump between atoms. When we apply voltage (electrical pressure), these electrons flow in the same direction, creating current. Your home's electricity involves electrons moving only about 1 inch per second, but the energy wave travels at nearly light speed. Static electricity is electrons building up in one place; current electricity is electrons flowing continuously."|Matter & Energy|Intermediate|Primary
"How do magnets work?","Magnetism comes from the motion of electrons. In most materials, electrons spin and orbit randomly, canceling out magnetic effects. In magnetic materials like iron, regions called domains have electrons aligned in the same direction. When domains align throughout the material, it becomes a magnet with north and south poles. Opposite poles attract because their magnetic field lines connect; like poles repel because field lines push against each other. Magnets can induce magnetism in iron temporarily, or permanently if the domains stay aligned."|Matter & Energy|Intermediate|Primary
"Why is fire hot?","Fire is a rapid chemical reaction (combustion) where fuel combines with oxygen, releasing energy stored in chemical bonds. This energy appears as heat and light. The reaction needs an initial energy input (ignition temperature) to break bonds in fuel molecules. Once started, it releases more energy than it consumes, creating a chain reaction. The flame's glow comes from tiny carbon particles heated to incandescence (2,000-3,000°F). Blue flames are hotter because complete combustion produces less soot. Fire is actually a plasma - the fourth state of matter."|Matter & Energy|Intermediate|Primary
"What is sound?","Sound is vibrations traveling through a medium (air, water, or solids). When something vibrates, it pushes and pulls nearby molecules, creating pressure waves. These waves travel outward like ripples on water. Your ear detects these pressure changes - the eardrum vibrates, tiny bones amplify the motion, and hair cells in the cochlea convert vibrations to electrical signals your brain interprets as sound. Frequency (vibrations per second) determines pitch; amplitude (wave size) determines volume. Sound travels at 767 mph in air, but 3,355 mph in water."|Matter & Energy|Intermediate|Primary
"→ Why is there no sound in space?","Sound needs molecules to travel through - it's a pressure wave that moves by pushing molecules into each other like dominoes. Space is essentially empty, with so few molecules (less than one atom per cubic centimeter) that sound waves can't propagate. That's why astronauts on spacewalks use radios - even screaming wouldn't be heard by someone right next to them. Movie explosions in space are fiction; real space is perfectly silent. Light and radio waves can travel through space because they're electromagnetic waves that don't need a medium."|Matter & Energy|Intermediate|Follow-up
"Why do things float or sink?","Objects float or sink based on density - mass per unit volume. If an object is less dense than the liquid it's in, it floats; if more dense, it sinks. When an object enters water, it pushes water aside (displaces it). The water pushes back with a force equal to the weight of displaced water (buoyancy). A steel ship floats because its hollow shape means its overall density (including air inside) is less than water's. Ice floats because water expands when it freezes, becoming less dense."|Matter & Energy|Intermediate|Primary
"What is friction?","Friction is the resistance force when surfaces slide against each other. At the microscopic level, surfaces are rough with peaks and valleys. When surfaces touch, these irregularities interlock, and atomic forces create attraction between molecules. Moving the surfaces requires breaking these connections. Friction converts kinetic energy into heat - that's why rubbing your hands warms them. Without friction, you couldn't walk, cars couldn't move, and knots would come undone. Different materials have different friction coefficients. Lubricants work by creating a slippery layer between surfaces."|Matter & Energy|Intermediate|Primary
