#,Writer,Total Ep Cnt,Per-Show Breakdown,Top 5 TV Credits (Year),Prelim Sources
1,"Aaron Ehasz",4,"Futurama (4)","Futurama (99); Avatar: Last Airbender (05); The Dragon Prince (18)","[IMDb]"
2,"Aaron Geary",11,"NHIE (4); Champions (3); Saved Bell (4)","NHIE (20); Champions (18); Saved Bell (2020) (20)","[IMDb]"
3,"Aaron Kaczander",11,"Goldbergs (11)","Goldbergs (13)","[IMDb]"
4,"Aaron Shure",5,"Office (5)","Office (05); Raymond (96); Lucky Louie (06); George Lopez (02)","[IMDb]"
5,"Aaron Vaccaro",8,"Mike & Molly (8)","Mike & Molly (10)","[IMDb]"
6,"Aasia LaShay Bullock",6,"Space Force (3); Carmichael Show (3)","Space Force (20); Carmichael Show (15); Loot (22)","[IMDb]"
7,"Abbe McDonald",3,"What We Do Shadows (3)","What We Do Shadows (19)","[IMDb]"
8,"Abbi Jacobson",15,"Broad City (15)","Broad City (14); A League of Their Own (22)","[IMDb], [Amazon]"
9,"Abe Sylvia",3,"Dead to Me (3)","Dead to Me (19); Nurse Jackie (09); George & Tammy (22)","[IMDb]"
10,"Abraham Higginbotham",11,"Modern Family (11)","Modern Family (09); Arrested Dev. (03); Will & Grace (98); Do-Over (02)","[IMDb], [Emmys]"
11,"Adam Armus",7,"Goldbergs (7)","Goldbergs (13); Heroes (06); The Practice (97)","[IMDb]"
12,"Adam Brooks",3,"Mozart Jungle (3)","Mozart Jungle (14); Imposters (17)","[IMDb]"
13,"Adam Countee",8,"Community (5); Silicon V. (3)","Community (09); Silicon V. (14)","[IMDb]"
14,"Adam Devine",15,"Workaholics (15)","Workaholics (11); Adam Devine's House Party (13); The Righteous Gemstones (19)","[IMDb]"
15,"Adam F. Goldberg",31,"Goldbergs (31)","Goldbergs (13); Schooled (19); Breaking In (11)","[IMDb]"
16,"Adam Locke-Norton",5,"Nathan For You (5)","Nathan For You (13); The Rehearsal (22)","[IMDb]"
17,"Adam McKay",3,"Eastbound (3)","Eastbound (09); SNL (95); Succession (18); Winning Time (22)","[IMDb], [Emmys]"
18,"Adam Small",50,"MADtv (50)","MADtv (95)","[IMDb]"
19,"Aeysha Carr",4,"Carmichael Show (4)","Carmichael Show (15); Rel (18); Woke (20); B99 (13)","[IMDb]"
20,"Aisha Muharrar",10,"P&R (7); Hacks (3)","P&R (09); Hacks (21); TGP (16); Search Party (16)","[IMDb], [WGA]"
21,"Aiyana White",4,"iZombie (4)","iZombie (15)","[IMDb]"
22,"Akshara Sekar",4,"NHIE (4)","NHIE (20)","[IMDb]"
23,"Al Jean",21,"Simpsons (21)","Simpsons (89); The Critic (94); Garry Shandling (86); Alf (86)","[IMDb], [Emmys]"
24,"Alan Kirschenbaum",3,"Raising Hope (3)","Raising Hope (10); Yes, Dear (00); Coach (89)","[IMDb]"
25,"Alan R. Cohen",10,"KOTH (10)","KOTH (97); Due Date (Film, 10); Get Hard (Film, 15); Idiocracy (Film, 06)","[IMDb]"
26,"Alan Yang",29,"P&R (7); Master of N. (14); Forever (8); Loot (5)","P&R (09); Master of N. (15); Forever (18); Loot (22); TGP (16)","[IMDb], [Emmys]"
