Name,City,Neighborhood,PlaceType,Tier,SentimentScore,CostBasis,OpenLate,CloseToHome,CloseToWork,SafeToLeaveComputer,WalkingFriendlyLocation,ExerciseWellnessAvailable,ChargedLaptopBrickOnly,Attributes,CriticalFieldNotes,Status
Griffin Club Los Angeles,Los Angeles,Cheviot Hills,Club,Elite,10,Membership only (no public day passes),True,False,True,True,False,True,False,"⚡️ Power Heavy, 🚗 Easy Parking, 🪑 Ergonomic, 🗣️ Body Doubling, 🍽️ Real Food, 📞 Call Friendly, 💎 Luxury",Private-club 'Griffin Standard': multiple lounges and terraces with strong wifi and plentiful outlets; incredible all‑day work base if you’re a member.,Verified Open
Santa Monica Proper Hotel (Lobby & Rooftop),Los Angeles,Santa Monica,Hotel Lobby,Elite,9,Hotel lobby (buy food/drink; optional ResortPass-style daycation; paid parking),True,False,False,False,True,True,False,"⚡️ Power Heavy, 🪑 Ergonomic, 🗣️ Body Doubling, 🍽️ Real Food, 📞 Call Friendly, 🌤️ Patio Power, 🎟️ Day Pass, 💎 Luxury","Design-forward lobby intentionally used for remote work with strong wifi, lots of plush plug‑in seating and optional day passes; only real tax is pricey food/parking.",Verified Open
Viceroy Santa Monica (Lobby & Pool Deck),Los Angeles,Santa Monica,Hotel Lobby,Elite,8,Hotel lobby (buy food/drink; valet/garage parking),True,False,False,False,True,True,False,"🗣️ Body Doubling, 🍽️ Real Food, 📞 Call Friendly, 🌤️ Patio Power, 💎 Luxury","Boutique lobby and pool area with good wifi and full menu; excellent for 2–3 hour working blocks, but evenings get social and noisy.",Verified Open
Marriott Marina del Rey (Lobby),Los Angeles,Marina del Rey,Hotel Lobby,Elite,7,Hotel lobby (buy food/drink; paid parking; best if you’re a guest),True,False,False,False,True,True,False,"🗣️ Body Doubling, 🍽️ Real Food, 📞 Call Friendly, 💎 Luxury","Business-hotel lobby with bar seating, wifi and plenty of soft chairs; a solid neutral meet‑up spot but not purpose-built as a work lounge.",Verified Open
The Shay (Lobby & Canopy Club Areas),Los Angeles,Culver City,Hotel Lobby,Elite,8,Hotel lobby/rooftop (order food/drink; paid Ivy Station garage),True,False,False,False,True,True,False,"🗣️ Body Doubling, 🍽️ Real Food, 📞 Call Friendly, 🌤️ Patio Power, 💎 Luxury","Design‑y Culver hotel whose lobby behaves like a cowork space; strong wifi and lots of small tables, but you’re expected to keep ordering and use the garage.",Verified Open
BLANKSPACES Venice,Los Angeles,Venice,Coworking Space,Elite,9,Day pass (~$35 WorkCafé) or membership,False,False,False,True,True,False,False,"⚡️ Power Heavy, 🪑 Ergonomic, 🗣️ Body Doubling, 📞 Call Friendly, 🎟️ Day Pass","Abbot‑adjacent cowork where a WorkCafé pass buys you fast wifi, lots of outlets and a friendly creative crowd; great when you want guaranteed seating.",Verified Open
BLANKSPACES Santa Monica (Main St),Los Angeles,Santa Monica,Coworking Space,Elite,8.5,Day pass (~$35 WorkCafé) or membership,False,False,False,True,True,False,False,"⚡️ Power Heavy, 🪑 Ergonomic, 🗣️ Body Doubling, 📞 Call Friendly, 🎟️ Day Pass","Beach‑adjacent cowork with ergonomic desks and reliable wifi; can feel tight on days when teams camp all day, but reliability is very high.",Verified Open
BLANKSPACES Culver City,Los Angeles,Culver City,Coworking Space,Elite,9,Day pass (~$35 WorkCafé) or membership,False,False,True,True,True,False,False,"⚡️ Power Heavy, 🪑 Ergonomic, 🗣️ Body Doubling, 📞 Call Friendly, 🎟️ Day Pass","Downtown Culver cowork hub with power at every desk, solid sound management and strong startup‑y body‑doubling energy.",Verified Open
BizHaus Marina del Rey,Los Angeles,Marina del Rey,Coworking Space,Elite,9,"Day pass / flex membership (includes wifi, coffee, parking)",False,False,False,True,False,False,False,"⚡️ Power Heavy, 🚗 Easy Parking, 🪑 Ergonomic, 🗣️ Body Doubling, 📞 Call Friendly, 🎟️ Day Pass","Warehouse‑style cowork with high‑speed internet, on‑site parking and a creative‑tech crowd; excellent when you want a stable desk all day.",Verified Open
LAX Coworking,Los Angeles,Westchester,Coworking Space,Elite,9,Affordable day pass via Westchester Chamber or memberships,False,True,False,True,False,False,False,"⚡️ Power Heavy, 🚗 Easy Parking, 🪑 Ergonomic, 🗣️ Body Doubling, 📞 Call Friendly, 🎟️ Day Pass","Airport‑adjacent cowork that routinely gets called out as the best LAX‑area workspace: fast wifi, lots of plugs and genuinely easy parking.",Verified Open
Santa Monica Public Library (Main),Los Angeles,Santa Monica,Library,Reliable,8,Free (no purchase; public library),False,False,False,False,True,False,False,"🧘 Deep Focus, 🌤️ Patio Power","Quiet, power‑rich reading rooms plus a courtyard wifi signal; perfect when you want deep‑focus script work and don’t need calls or coffee.",Verified Open
Culver Hotel (Lobby),Los Angeles,Culver City,Hotel Lobby,Reliable,7.5,Hotel bar (order food/drink; valet/garage nearby),True,False,True,False,True,False,False,"🗣️ Body Doubling, 🍽️ Real Food, 📞 Call Friendly, 🌙 Night Owl, 💎 Luxury","Historic lobby bar with wifi and plush seating; welcoming to laptops in off‑peak hours but loud and service‑driven at night, so best used mid‑day.",Verified Open
Hotel June (Lobby & Caravan Swim Club),Los Angeles,Westchester,Hotel Lobby,Elite,8,Hotel lobby/restaurant (buy food/drink; valet or garage parking),True,True,False,False,False,True,False,"🗣️ Body Doubling, 🍽️ Real Food, 📞 Call Friendly, 🌤️ Patio Power, 💎 Luxury","Boho LAX‑side hotel; lobby and pool area have strong wifi and relaxed staff attitudes toward laptops if you’re ordering, with the added bonus of easy access to a pool and bar.",Verified Open
Capital One Café,Los Angeles,Santa Monica,Bank Cafe,Elite,9,Free seating with purchase (discounts for Capital One cardholders),False,False,False,False,True,False,False,"⚡️ Power Heavy, 🪑 Ergonomic, 🗣️ Body Doubling","Bank‑meets‑café work hub downtown: free wifi, outlets at most seats and big communal tables; extremely functional if a bit corporate.",Verified Open
